time,latitude,longitude,step,surface,valid_time,slhf,d2m,sp,str,lai_lv,t2m,u10,sshf,ssrd,lai_hv,v10,tp,e,strd,ssr,date,is_fire_day,railway_count,industrial_count,power_line_count
2006-01-01,59.0,-119.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,48308.0,264.89014,94311.75,-508786.0,0.0,265.77954,-1.7554379,145994.0,0.0,1.1328125,0.4337921,6.760657e-05,1.9188039e-05,11359309.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-119.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,59088.0,265.9292,94915.75,-397809.0,0.0,266.77368,-1.6284847,117812.0,0.0,1.1328125,0.39668274,9.819865e-05,2.3256987e-05,11853594.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-118.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,63774.0,266.56982,95133.75,-594838.0,2.9608154,267.44946,-1.4234066,379482.0,0.0,1.1867676,0.7707062,9.75579e-05,2.5374815e-05,11986186.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-118.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,64126.0,266.41748,95245.75,-926591.0,0.0,267.56274,-1.1729183,679128.0,0.0,1.1328125,1.2082062,4.7057867e-05,2.5734305e-05,11643135.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-117.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-36986.0,266.19092,95223.75,-1335680.0,0.0,267.39087,-1.1831722,1175784.0,0.0,1.1400146,1.7101593,2.4549663e-05,-1.2497418e-05,11227913.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-117.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-71078.0,266.03662,94446.75,-1541675.0,0.0,267.16235,-1.3653011,1408204.0,0.0,1.1549072,1.9337921,3.7685037e-05,-2.507586e-05,10986631.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-116.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-26998.0,265.54248,92223.75,-1561643.0,2.4746094,266.6526,-1.6665707,1375308.0,0.0,1.7055664,1.8136749,4.5843422e-05,-9.242445e-06,10832691.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-116.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,95434.0,264.67334,90420.75,-1335701.0,0.0,265.7229,-1.5337582,1037340.0,0.0,1.0390625,1.4894562,5.4597855e-05,3.8367696e-05,10885266.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-115.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,238738.0,264.2085,90052.75,-1006982.0,0.0,265.08228,-1.0322933,423120.0,0.0,1.0390625,1.2804718,7.7299774e-05,9.445008e-05,11099281.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-115.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,212990.0,263.8374,90123.75,-754745.0,0.0,264.75415,-0.40875816,291112.0,0.0,1.1097412,1.3449249,0.00017665327,8.455478e-05,11313630.0,0.0,2006-01-01,0,0,0,0
