time,latitude,longitude,step,surface,valid_time,sp,tp,t2m,d2m,v10,u10,date,is_fire_day
2006-03-02,57.5,-112.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,94413.0,8.5830686e-07,254.10037,251.586,-1.1678228,-1.5747528,2006-03-02,0
2006-03-02,57.5,-112.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,95728.0,8.5830686e-07,253.83084,251.25983,-1.857276,0.35884094,2006-03-02,0
2006-03-02,57.5,-111.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99855.0,8.5830686e-07,254.61404,252.19928,-1.7195807,0.31196594,2006-03-02,0
2006-03-02,57.5,-111.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99540.0,1.2606382e-06,255.66873,253.45514,-1.0408697,-1.0532684,2006-03-02,0
2006-03-02,57.5,-110.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,97694.0,4.36008e-06,256.491,254.20514,-0.30258846,-1.5044403,2006-03-02,0
2006-03-02,57.5,-110.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,96553.0,1.03801485e-05,256.75076,254.5567,-0.5965338,-1.5347137,2006-03-02,0
2006-03-02,57.0,-120.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,93417.0,8.5830686e-07,258.12967,255.36139,0.40834904,-2.1401825,2006-03-02,0
2006-03-02,57.0,-119.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,91454.0,8.5830686e-07,256.03983,253.77936,0.55873966,-2.1587372,2006-03-02,0
2006-03-02,57.0,-119.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,93454.0,8.881092e-07,253.56717,251.29889,0.1749506,-1.8520966,2006-03-02,0
2006-03-02,57.0,-118.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,93977.0,1.8715858e-06,253.44803,251.22076,-0.87290096,-1.9058075,2006-03-02,0
2006-03-02,57.0,-118.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,94590.0,9.0301035e-07,254.01834,251.8653,-1.6092291,-1.7114716,2006-03-02,0
2006-03-02,57.0,-117.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,97282.0,8.5830686e-07,253.05936,251.55865,-1.1521978,-1.3657684,2006-03-02,0
2006-03-02,57.0,-117.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,96470.0,8.5830686e-07,256.22147,253.66998,-0.058447838,-1.7388153,2006-03-02,0
2006-03-02,57.0,-116.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,94835.0,8.5830686e-07,255.97537,253.69147,0.83217716,-2.3745575,2006-03-02,0
2006-03-02,57.0,-116.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,94012.0,8.881092e-07,253.78592,251.63092,0.5128412,-1.7300262,2006-03-02,0
2006-03-02,57.0,-115.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,96505.0,1.245737e-06,250.71756,248.56061,-0.53696346,-1.0571747,2006-03-02,0
2006-03-02,57.0,-115.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,96880.0,8.5830686e-07,253.24295,250.9942,0.12709904,-1.9810028,2006-03-02,0
2006-03-02,57.0,-114.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,96186.0,8.5830686e-07,254.16873,251.84772,0.67885685,-2.0093231,2006-03-02,0
2006-03-02,57.0,-114.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,96270.0,8.5830686e-07,253.10037,250.7403,0.0655756,-2.1186981,2006-03-02,0
2006-03-02,57.0,-113.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,95868.0,9.62615e-07,252.91873,250.57428,-0.84458065,-2.0405731,2006-03-02,0
