fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
81,2023/10/10 00:00:00,2023/10/10 19:16:32,2023/10/11 01:16:32,2023/10/10 18:16:32,53.459,-116.8714,34,2
82,2023/10/10 00:00:00,2023/10/10 19:25:14,2023/10/11 01:25:14,2023/10/10 18:25:14,54.6264,-119.6814,170,1
83,2023/10/10 00:00:00,2023/10/10 19:25:14,2023/10/11 01:25:14,2023/10/10 18:25:14,54.6378,-119.6652,20,1
84,2023/10/10 00:00:00,2023/10/10 20:37:44,2023/10/11 02:37:44,2023/10/10 19:37:44,53.9733,-119.1748,-21,1
85,2023/10/10 00:00:00,2023/10/10 20:39:55,2023/10/11 02:39:55,2023/10/10 19:39:55,54.0178,-119.142,22,1
86,2023/10/10 00:00:00,2023/10/10 20:43:36,2023/10/11 02:43:36,2023/10/10 19:43:36,54.0346,-119.1268,-40,4
87,2023/10/10 00:00:00,2023/10/10 20:47:34,2023/10/11 02:47:34,2023/10/10 19:47:34,54.2008,-119.1784,16,0
88,2023/10/10 00:00:00,2023/10/10 20:49:39,2023/10/11 02:49:39,2023/10/10 19:49:39,56.3126,-119.0106,12,0
89,2023/10/10 00:00:00,2023/10/10 20:50:37,2023/10/11 02:50:37,2023/10/10 19:50:37,54.1433,-119.1951,-38,1
90,2023/10/10 00:00:00,2023/10/10 20:54:35,2023/10/11 02:54:35,2023/10/10 19:54:35,54.1031,-119.1764,32,1
91,2023/10/10 00:00:00,2023/10/10 20:59:35,2023/10/11 02:59:35,2023/10/10 19:59:35,54.1345,-119.2215,-19,1
92,2023/10/10 00:00:00,2023/10/10 20:59:35,2023/10/11 02:59:35,2023/10/10 19:59:35,54.133,-119.2221,-27,1
93,2023/10/10 00:00:00,2023/10/10 21:00:56,2023/10/11 03:00:56,2023/10/10 20:00:56,54.2211,-119.1988,-33,0
94,2023/10/10 00:00:00,2023/10/10 21:01:07,2023/10/11 03:01:07,2023/10/10 20:01:07,54.1467,-119.2091,72,1
95,2023/10/10 00:00:00,2023/10/10 21:02:24,2023/10/11 03:02:24,2023/10/10 20:02:24,54.1483,-119.206,32,1
96,2023/10/10 00:00:00,2023/10/10 21:03:36,2023/10/11 03:03:36,2023/10/10 20:03:36,54.1516,-119.2122,22,1
97,2023/10/10 00:00:00,2023/10/10 21:03:36,2023/10/11 03:03:36,2023/10/10 20:03:36,54.1465,-119.2121,19,1
98,2023/10/10 00:00:00,2023/10/10 21:05:15,2023/10/11 03:05:15,2023/10/10 20:05:15,54.1334,-119.2248,27,1
99,2023/10/10 00:00:00,2023/10/10 21:06:26,2023/10/11 03:06:26,2023/10/10 20:06:26,54.332,-119.4249,29,1
100,2023/10/10 00:00:00,2023/10/10 21:07:14,2023/10/11 03:07:14,2023/10/10 20:07:14,54.219,-119.3032,53,2
101,2023/10/10 00:00:00,2023/10/10 21:08:26,2023/10/11 03:08:26,2023/10/10 20:08:26,54.3635,-119.4379,19,0
102,2023/10/10 00:00:00,2023/10/10 21:09:23,2023/10/11 03:09:23,2023/10/10 20:09:23,54.235,-119.3857,33,2
103,2023/10/10 00:00:00,2023/10/10 21:09:23,2023/10/11 03:09:23,2023/10/10 20:09:23,54.181,-119.3778,-18,2
104,2023/10/10 00:00:00,2023/10/10 21:10:21,2023/10/11 03:10:21,2023/10/10 20:10:21,55.1212,-117.0674,9,0
105,2023/10/10 00:00:00,2023/10/10 21:11:05,2023/10/11 03:11:05,2023/10/10 20:11:05,54.2313,-119.3062,36,3
106,2023/10/10 00:00:00,2023/10/10 21:11:41,2023/10/11 03:11:41,2023/10/10 20:11:41,54.1831,-119.3489,-16,1
107,2023/10/10 00:00:00,2023/10/10 21:11:41,2023/10/11 03:11:41,2023/10/10 20:11:41,54.1817,-119.3691,-24,1
108,2023/10/10 00:00:00,2023/10/10 21:13:47,2023/10/11 03:13:47,2023/10/10 20:13:47,54.1839,-119.1986,25,1
109,2023/10/10 00:00:00,2023/10/10 21:16:12,2023/10/11 03:16:12,2023/10/10 20:16:12,54.2607,-119.423,-22,3
110,2023/10/10 00:00:00,2023/10/10 21:16:23,2023/10/11 03:16:23,2023/10/10 20:16:23,55.073,-119.6094,-39,1
111,2023/10/10 00:00:00,2023/10/10 21:16:23,2023/10/11 03:16:23,2023/10/10 20:16:23,54.4704,-119.7621,-42,2
112,2023/10/10 00:00:00,2023/10/10 21:17:20,2023/10/11 03:17:20,2023/10/10 20:17:20,54.1593,-119.1969,-12,1
113,2023/10/10 00:00:00,2023/10/10 21:17:59,2023/10/11 03:17:59,2023/10/10 20:17:59,54.2136,-119.3053,46,1
114,2023/10/10 00:00:00,2023/10/10 21:18:59,2023/10/11 03:18:59,2023/10/10 20:18:59,54.1759,-119.1898,-28,1
115,2023/10/10 00:00:00,2023/10/10 21:19:34,2023/10/11 03:19:34,2023/10/10 20:19:34,54.1887,-119.2175,14,0
116,2023/10/10 00:00:00,2023/10/10 21:21:34,2023/10/11 03:21:34,2023/10/10 20:21:34,54.2665,-119.3961,92,1
117,2023/10/10 00:00:00,2023/10/10 21:23:27,2023/10/11 03:23:27,2023/10/10 20:23:27,54.4585,-119.6374,62,2
118,2023/10/10 00:00:00,2023/10/10 21:23:27,2023/10/11 03:23:27,2023/10/10 20:23:27,54.5439,-119.7006,32,1
119,2023/10/10 00:00:00,2023/10/10 21:23:37,2023/10/11 03:23:37,2023/10/10 20:23:37,54.2157,-119.3096,-25,1
120,2023/10/10 00:00:00,2023/10/10 21:25:11,2023/10/11 03:25:11,2023/10/10 20:25:11,54.2078,-119.1242,28,1
121,2023/10/10 00:00:00,2023/10/10 21:26:04,2023/10/11 03:26:04,2023/10/10 20:26:04,54.2269,-119.1386,55,1
122,2023/10/10 00:00:00,2023/10/10 21:26:46,2023/10/11 03:26:46,2023/10/10 20:26:46,54.4311,-119.5638,92,2
123,2023/10/10 00:00:00,2023/10/10 21:28:15,2023/10/11 03:28:15,2023/10/10 20:28:15,54.4969,-119.6383,30,1
124,2023/10/10 00:00:00,2023/10/10 21:30:49,2023/10/11 03:30:49,2023/10/10 20:30:49,54.2279,-119.1723,22,1
125,2023/10/10 00:00:00,2023/10/10 21:31:22,2023/10/11 03:31:22,2023/10/10 20:31:22,54.5216,-119.6081,110,1
126,2023/10/10 00:00:00,2023/10/10 21:33:10,2023/10/11 03:33:10,2023/10/10 20:33:10,54.4398,-119.5993,100,2
127,2023/10/10 00:00:00,2023/10/10 21:33:10,2023/10/11 03:33:10,2023/10/10 20:33:10,54.2787,-119.3842,-20,1
128,2023/10/10 00:00:00,2023/10/10 21:34:15,2023/10/11 03:34:15,2023/10/10 20:34:15,54.4757,-119.6161,-14,1
129,2023/10/10 00:00:00,2023/10/10 21:34:18,2023/10/11 03:34:18,2023/10/10 20:34:18,54.5077,-119.6301,57,1
130,2023/10/10 00:00:00,2023/10/10 21:34:45,2023/10/11 03:34:45,2023/10/10 20:34:45,54.2885,-119.3875,-41,1
131,2023/10/10 00:00:00,2023/10/10 21:34:45,2023/10/11 03:34:45,2023/10/10 20:34:45,54.2325,-119.1642,29,1
132,2023/10/10 00:00:00,2023/10/10 21:34:45,2023/10/11 03:34:45,2023/10/10 20:34:45,53.7948,-119.7561,22,1
133,2023/10/10 00:00:00,2023/10/10 21:35:46,2023/10/11 03:35:46,2023/10/10 20:35:46,54.3074,-119.4237,46,1
134,2023/10/10 00:00:00,2023/10/10 21:35:46,2023/10/11 03:35:46,2023/10/10 20:35:46,54.2812,-119.3891,16,1
135,2023/10/10 00:00:00,2023/10/10 21:37:28,2023/10/11 03:37:28,2023/10/10 20:37:28,54.2822,-119.3664,17,2
136,2023/10/10 00:00:00,2023/10/10 21:37:28,2023/10/11 03:37:28,2023/10/10 20:37:28,54.3061,-119.3761,57,2
137,2023/10/10 00:00:00,2023/10/10 21:39:14,2023/10/11 03:39:14,2023/10/10 20:39:14,56.8628,-118.0795,10,0
138,2023/10/10 00:00:00,2023/10/10 21:39:14,2023/10/11 03:39:14,2023/10/10 20:39:14,54.3424,-119.62,76,1
139,2023/10/10 00:00:00,2023/10/10 21:40:23,2023/10/11 03:40:23,2023/10/10 20:40:23,54.5085,-119.4404,12,0
140,2023/10/10 00:00:00,2023/10/10 21:41:51,2023/10/11 03:41:51,2023/10/10 20:41:51,54.2973,-119.3854,97,1
141,2023/10/10 00:00:00,2023/10/10 21:42:51,2023/10/11 03:42:51,2023/10/10 20:42:51,54.2919,-119.4367,82,1
142,2023/10/10 00:00:00,2023/10/10 21:43:57,2023/10/11 03:43:57,2023/10/10 20:43:57,54.4611,-119.7556,18,1
143,2023/10/10 00:00:00,2023/10/10 21:43:57,2023/10/11 03:43:57,2023/10/10 20:43:57,54.5192,-119.7009,-21,1
144,2023/10/10 00:00:00,2023/10/10 21:44:41,2023/10/11 03:44:41,2023/10/10 20:44:41,54.3484,-119.4038,25,1
145,2023/10/10 00:00:00,2023/10/10 21:45:22,2023/10/11 03:45:22,2023/10/10 20:45:22,54.3093,-119.419,18,1
146,2023/10/10 00:00:00,2023/10/10 21:48:00,2023/10/11 03:48:00,2023/10/10 20:48:00,54.3901,-119.6817,19,1
147,2023/10/10 00:00:00,2023/10/10 21:48:00,2023/10/11 03:48:00,2023/10/10 20:48:00,54.3813,-119.648,65,1
148,2023/10/10 00:00:00,2023/10/10 21:52:51,2023/10/11 03:52:51,2023/10/10 20:52:51,54.5277,-119.4891,93,1
149,2023/10/10 00:00:00,2023/10/10 21:52:51,2023/10/11 03:52:51,2023/10/10 20:52:51,53.2153,-118.0117,16,0
150,2023/10/10 00:00:00,2023/10/10 21:53:31,2023/10/11 03:53:31,2023/10/10 20:53:31,54.3899,-119.6736,76,1
151,2023/10/10 00:00:00,2023/10/10 21:54:40,2023/10/11 03:54:40,2023/10/10 20:54:40,54.3911,-119.6493,64,1
152,2023/10/10 00:00:00,2023/10/10 21:55:59,2023/10/11 03:55:59,2023/10/10 20:55:59,54.3954,-119.5014,28,0
153,2023/10/10 00:00:00,2023/10/10 21:57:09,2023/10/11 03:57:09,2023/10/10 20:57:09,54.3789,-119.5188,170,1
154,2023/10/10 00:00:00,2023/10/10 21:58:02,2023/10/11 03:58:02,2023/10/10 20:58:02,54.3953,-119.5268,117,1
155,2023/10/10 00:00:00,2023/10/10 21:59:04,2023/10/11 03:59:04,2023/10/10 20:59:04,54.4192,-119.4991,68,1
156,2023/10/10 00:00:00,2023/10/10 22:01:46,2023/10/11 04:01:46,2023/10/10 21:01:46,54.4549,-119.7264,27,1
157,2023/10/10 00:00:00,2023/10/10 22:03:14,2023/10/11 04:03:14,2023/10/10 21:03:14,54.5706,-119.518,-27,2
158,2023/10/10 00:00:00,2023/10/10 22:03:14,2023/10/11 04:03:14,2023/10/10 21:03:14,54.6273,-119.7155,20,1
159,2023/10/10 00:00:00,2023/10/10 22:05:28,2023/10/11 04:05:28,2023/10/10 21:05:28,54.5525,-119.5269,33,1
160,2023/10/10 00:00:00,2023/10/10 22:07:26,2023/10/11 04:07:26,2023/10/10 21:07:26,54.5366,-119.5226,-36,3
161,2023/10/10 00:00:00,2023/10/10 22:08:25,2023/10/11 04:08:25,2023/10/10 21:08:25,54.5468,-119.5871,31,1
162,2023/10/10 00:00:00,2023/10/10 22:11:23,2023/10/11 04:11:23,2023/10/10 21:11:23,54.3741,-119.5655,-3,0
163,2023/10/10 00:00:00,2023/10/10 22:11:23,2023/10/11 04:11:23,2023/10/10 21:11:23,54.568,-119.53,-18,0
164,2023/10/10 00:00:00,2023/10/10 22:32:31,2023/10/11 04:32:31,2023/10/10 21:32:31,55.1052,-119.8988,148,1
165,2023/10/10 00:00:00,2023/10/10 22:32:31,2023/10/11 04:32:31,2023/10/10 21:32:31,54.6531,-119.6613,18,0
