fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
121,2023/04/17 00:00:00,2023/04/17 18:08:04,2023/04/18 00:08:04,2023/04/17 17:08:04,53.3715,-111.8897,-17,1
122,2023/04/17 00:00:00,2023/04/17 18:11:36,2023/04/18 00:11:36,2023/04/17 17:11:36,53.7079,-112.2932,41,1
123,2023/04/17 00:00:00,2023/04/17 18:11:36,2023/04/18 00:11:36,2023/04/17 17:11:36,53.4859,-112.4119,34,1
124,2023/04/17 00:00:00,2023/04/17 18:11:36,2023/04/18 00:11:36,2023/04/17 17:11:36,53.6081,-112.4822,147,2
125,2023/04/17 00:00:00,2023/04/17 18:11:49,2023/04/18 00:11:49,2023/04/17 17:11:49,53.3899,-111.854,59,1
126,2023/04/17 00:00:00,2023/04/17 18:13:17,2023/04/18 00:13:17,2023/04/17 17:13:17,53.5244,-112.4643,22,1
127,2023/04/17 00:00:00,2023/04/17 18:13:20,2023/04/18 00:13:20,2023/04/17 17:13:20,53.394,-111.8516,39,1
128,2023/04/17 00:00:00,2023/04/17 18:15:55,2023/04/18 00:15:55,2023/04/17 17:15:55,54.006,-111.7487,15,0
129,2023/04/17 00:00:00,2023/04/17 18:17:45,2023/04/18 00:17:45,2023/04/17 17:17:45,54.0365,-111.7011,-14,2
130,2023/04/17 00:00:00,2023/04/17 18:18:30,2023/04/18 00:18:30,2023/04/17 17:18:30,53.6593,-112.4414,143,1
131,2023/04/17 00:00:00,2023/04/17 18:22:50,2023/04/18 00:22:50,2023/04/17 17:22:50,53.4971,-111.8672,92,1
132,2023/04/17 00:00:00,2023/04/17 18:27:35,2023/04/18 00:27:35,2023/04/17 17:27:35,53.9873,-111.8355,-13,1
133,2023/04/17 00:00:00,2023/04/17 18:31:31,2023/04/18 00:31:31,2023/04/17 17:31:31,54.0297,-111.8344,-13,3
134,2023/04/17 00:00:00,2023/04/17 18:42:13,2023/04/18 00:42:13,2023/04/17 17:42:13,54.3285,-111.6664,39,1
135,2023/04/17 00:00:00,2023/04/17 18:43:05,2023/04/18 00:43:05,2023/04/17 17:43:05,54.3627,-111.6387,34,1
136,2023/04/17 00:00:00,2023/04/17 18:53:09,2023/04/18 00:53:09,2023/04/17 17:53:09,54.1906,-111.6274,150,1
137,2023/04/17 00:00:00,2023/04/17 18:54:45,2023/04/18 00:54:45,2023/04/17 17:54:45,54.3823,-111.6985,44,1
138,2023/04/17 00:00:00,2023/04/17 18:58:25,2023/04/18 00:58:25,2023/04/17 17:58:25,54.3844,-111.6551,63,1
139,2023/04/17 00:00:00,2023/04/17 19:00:06,2023/04/18 01:00:06,2023/04/17 18:00:06,54.4194,-111.7551,44,1
140,2023/04/17 00:00:00,2023/04/17 19:01:59,2023/04/18 01:01:59,2023/04/17 18:01:59,54.4291,-111.7592,31,1
141,2023/04/17 00:00:00,2023/04/17 19:06:34,2023/04/18 01:06:34,2023/04/17 18:06:34,54.438,-111.8252,-15,1
142,2023/04/17 00:00:00,2023/04/17 19:08:10,2023/04/18 01:08:10,2023/04/17 18:08:10,54.4701,-111.8802,-16,1
143,2023/04/17 00:00:00,2023/04/17 19:12:28,2023/04/18 01:12:28,2023/04/17 18:12:28,54.5002,-111.8884,-23,2
144,2023/04/17 00:00:00,2023/04/17 19:12:49,2023/04/18 01:12:49,2023/04/17 18:12:49,54.3064,-111.7121,108,1
145,2023/04/17 00:00:00,2023/04/17 19:15:32,2023/04/18 01:15:32,2023/04/17 18:15:32,54.3263,-111.7151,31,4
146,2023/04/17 00:00:00,2023/04/17 19:15:46,2023/04/18 01:15:46,2023/04/17 18:15:46,53.7321,-111.6619,-25,1
147,2023/04/17 00:00:00,2023/04/17 19:17:25,2023/04/18 01:17:25,2023/04/17 18:17:25,54.3347,-111.786,60,1
148,2023/04/17 00:00:00,2023/04/17 19:17:26,2023/04/18 01:17:26,2023/04/17 18:17:26,54.4652,-111.77,-34,1
149,2023/04/17 00:00:00,2023/04/17 19:19:49,2023/04/18 01:19:49,2023/04/17 18:19:49,53.7809,-111.6831,178,2
150,2023/04/17 00:00:00,2023/04/17 19:21:22,2023/04/18 01:21:22,2023/04/17 18:21:22,54.3792,-111.8092,-23,2
151,2023/04/17 00:00:00,2023/04/17 19:22:40,2023/04/18 01:22:40,2023/04/17 18:22:40,53.7759,-111.692,94,2
152,2023/04/17 00:00:00,2023/04/17 19:24:32,2023/04/18 01:24:32,2023/04/17 18:24:32,54.509,-111.7907,-109,4
153,2023/04/17 00:00:00,2023/04/17 19:26:17,2023/04/18 01:26:17,2023/04/17 18:26:17,53.7806,-111.7858,-16,1
154,2023/04/17 00:00:00,2023/04/17 19:33:00,2023/04/18 01:33:00,2023/04/17 18:33:00,54.2813,-111.8783,-73,3
155,2023/04/17 00:00:00,2023/04/17 19:44:41,2023/04/18 01:44:41,2023/04/17 18:44:41,54.508,-111.7115,335,1
156,2023/04/17 00:00:00,2023/04/17 19:48:43,2023/04/18 01:48:43,2023/04/17 18:48:43,54.558,-111.2899,-24,0
157,2023/04/17 00:00:00,2023/04/17 19:58:45,2023/04/18 01:58:45,2023/04/17 18:58:45,54.4098,-112.0235,-26,2
158,2023/04/17 00:00:00,2023/04/17 21:03:30,2023/04/18 03:03:30,2023/04/17 20:03:30,54.3342,-111.8995,-20,2
159,2023/04/17 00:00:00,2023/04/17 22:24:24,2023/04/18 04:24:24,2023/04/17 21:24:24,53.8638,-111.0772,-23,1
160,2023/04/17 00:00:00,2023/04/17 22:31:27,2023/04/18 04:31:27,2023/04/17 21:31:27,53.8713,-111.0469,-19,1
